Row,LyapunovL1,LyapunovL2,Cycler21,Cycler11a,Cycler11b,Cycler32,Resonant2to1Stable,Resonant2to1Unstable,Resonant3to1Stable,Resonant3to1Unstable,Resonant5to2Stable,Resonant5to2Unstable
Lyapunov L1,NaN,3.163521798,4.545638409,7.007246795,3.404715617,10.38554,NaN,5.420261513,173.0413193,73.25388743,62.96846036,24.35283786
Lyapunov L2,3.163521798,NaN,3.043371301,5.928838643,3.844790078,6.704928742,NaN,14.26784887,239.2799241,162.579065,98.67271462,14.1824232
Cycler 21,4.545638409,3.043371301,NaN,0.854682652,1.193969766,1.956291507,332.1867515,9.590606319,177.9513511,74.57656592,60.03003814,26.83079487
Cycler 11a,7.007246795,5.928838643,0.854682652,NaN,0.989630507,2.233577745,339.2685956,2.47768075,173.8739395,64.20679965,99.60458396,31.88157701
Cycler 11b,3.404715617,3.844790078,1.193969766,0.989630507,NaN,1.671559454,397.1230043,9.674675744,178.843247,75.23405157,61.02875979,18.52585746
Cycler 32,10.38554,6.704928742,1.956291507,2.233577745,1.671559454,NaN,248.0373664,9.095806234,148.4588471,62.65521853,61.70545391,7.307021353
Resonant 2to1 Stable,NaN,NaN,332.1867515,339.2685956,397.1230043,248.0373664,NaN,339.0013905,377.5577342,398.4530072,257.6087873,251.159563
Resonant 2to1 Unstable,5.420261513,14.26784887,9.590606319,2.47768075,9.674675744,9.095806234,339.0013905,NaN,173.5313771,62.98674252,97.35962448,11.85921735
Resonant 3to1 Stable,173.0413193,239.2799241,177.9513511,173.8739395,178.843247,148.4588471,377.5577342,173.5313771,NaN,227.6796328,189.2534498,146.066323
Resonant 3to1 Unstable,73.25388743,162.579065,74.57656592,64.20679965,75.23405157,62.65521853,398.4530072,62.98674252,227.6796328,NaN,135.8515516,100.8187882
Resonant 5to2 Stable,62.96846036,98.67271462,60.03003814,99.60458396,61.02875979,61.70545391,257.6087873,97.35962448,189.2534498,135.8515516,NaN,62.37867927
Resonant 5to2 Unstable,24.35283786,14.1824232,26.83079487,31.88157701,18.52585746,7.307021353,251.159563,11.85921735,146.066323,100.8187882,62.37867927,NaN
