i,j,A,B,overlap,refine_candidates,DVtotal_coarse_nd,DVtotal_refined_nd,DVturn1_coarse_nd,DVpatch_coarse_nd,DVturn2_coarse_nd,DVturn1_refined_nd,DVpatch_refined_nd,DVturn2_refined_nd,TOF_coarse_nd,TOF_refined_nd,runtime_s
1,2,Lyapunov L1,Lyapunov L2,25219,100,NaN,0.003091792218146,NaN,NaN,NaN,0.00057768086662448,0.00179587784077103,0.000718233510750494,NaN,6.26591257321239,93.433851
1,3,Lyapunov L1,Cycler 21,94428,100,NaN,0.00444257076739612,NaN,NaN,NaN,0.000420177619715433,0.00392518573128653,9.72074163941545e-05,NaN,4.2239136629182,153.442738
1,4,Lyapunov L1,Cycler 11a,86862,100,NaN,0.00684836473274612,NaN,NaN,NaN,0.000892002033200132,0.00580317508020213,0.000153187619343857,NaN,4.63668647141694,128.202436
1,5,Lyapunov L1,Cycler 11b,83342,100,NaN,0.00332751721751433,NaN,NaN,NaN,1.20333709864899e-05,0.00150373072241076,0.00181175312411708,NaN,4.72898756570959,135.420787
1,6,Lyapunov L1,Cycler 32,84364,100,NaN,0.0101500586398513,NaN,NaN,NaN,0.000255541665174639,0.00878885226640993,0.00110566470826677,NaN,5.0767886764973,166.581747
1,7,Lyapunov L1,Resonant 2to1 Stable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.89847
1,8,Lyapunov L1,Resonant 2to1 Unstable,78771,100,NaN,0.00529736269881419,NaN,NaN,NaN,0.000212442874681805,0.00452477257248293,0.000560147251649456,NaN,4.88215865641971,126.083107
1,9,Lyapunov L1,Resonant 3to1 Stable,5282,100,NaN,0.16911778667923,NaN,NaN,NaN,0.00635276340753352,0.00679873718068151,0.155966286091015,NaN,6.20737822086616,121.687015
1,10,Lyapunov L1,Resonant 3to1 Unstable,22988,100,NaN,0.0715929314174809,NaN,NaN,NaN,0.000579276762275758,0.0266308739448972,0.044382780710308,NaN,5.24673046335869,89.411532
1,11,Lyapunov L1,Resonant 5to2 Stable,43873,100,NaN,0.0615407157533439,NaN,NaN,NaN,0.00976539113894321,0.0105841759844207,0.04119114862998,NaN,6.16585444386656,133.359566
1,12,Lyapunov L1,Resonant 5to2 Unstable,68724,100,NaN,0.0238006624948259,NaN,NaN,NaN,0.000836173269355228,0.0209837065371596,0.00198078268831109,NaN,4.86008781603867,168.095699
1,13,Lyapunov L1,Distant Prograde Orbit,19989,100,NaN,0.00420874692060805,NaN,NaN,NaN,0.00163054509105651,0.00205545016716795,0.000522751662383589,NaN,4.44517563083483,88.695917
2,3,Lyapunov L2,Cycler 21,58218,100,NaN,0.00297436600944924,NaN,NaN,NaN,0.000537519114663559,0.00127007870491528,0.00116676818987041,NaN,5.57165440499465,136.618073
2,4,Lyapunov L2,Cycler 11a,60392,100,NaN,0.00579440836904213,NaN,NaN,NaN,0.000476461726716433,0.0035189090206975,0.00179903762162819,NaN,5.65520954829369,136.720878
2,5,Lyapunov L2,Cycler 11b,53772,100,NaN,0.00375761344622213,NaN,NaN,NaN,0.00232748457089966,0.000861270732028309,0.000568858143294158,NaN,4.61315204562385,126.575262
2,6,Lyapunov L2,Cycler 32,60880,100,NaN,0.00655290142837439,NaN,NaN,NaN,0.000335659660215291,0.00454747775104252,0.00166976401711657,NaN,5.83273018775836,149.1944
2,7,Lyapunov L2,Resonant 2to1 Stable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.099525
2,8,Lyapunov L2,Resonant 2to1 Unstable,51778,100,NaN,0.0139443401773913,NaN,NaN,NaN,0.000834129538120068,0.00734106543473319,0.00576914520453804,NaN,5.7026687434095,144.505106
2,9,Lyapunov L2,Resonant 3to1 Stable,1410,55,NaN,0.233854499678347,NaN,NaN,NaN,0.0497253834436054,0.0213807794264362,0.162748336808306,NaN,6.26840419701395,81.794887
2,10,Lyapunov L2,Resonant 3to1 Unstable,8601,100,NaN,0.158892753167173,NaN,NaN,NaN,0.0166657638492906,0.00502470396974084,0.137202285348142,NaN,4.78687343565797,94.358414
2,11,Lyapunov L2,Resonant 5to2 Stable,21381,100,NaN,0.096435413042114,NaN,NaN,NaN,0.00266752658774468,0.00481234075657998,0.0889555456977893,NaN,6.07696755345941,119.577755
2,12,Lyapunov L2,Resonant 5to2 Unstable,42908,100,NaN,0.013860851448897,NaN,NaN,NaN,0.00395878028377109,0.00156268239523244,0.00833938876989348,NaN,5.39790215701962,115.10005
2,13,Lyapunov L2,Distant Prograde Orbit,29562,100,NaN,0.00565413388567905,NaN,NaN,NaN,0.000804635556889245,0.00402354030983835,0.000825958018951455,NaN,5.25363710738499,104.286245
3,4,Cycler 21,Cycler 11a,261817,100,NaN,0.000835303608302836,NaN,NaN,NaN,0.000129585984176794,0.000699592417389565,6.1252067364764e-06,NaN,2.07579709330842,190.265
3,5,Cycler 21,Cycler 11b,438731,100,NaN,0.00116689773887608,NaN,NaN,NaN,0.000100371318057469,0.00105643713992631,1.00892808923042e-05,NaN,4.36632103004064,253.453861
3,6,Cycler 21,Cycler 32,213293,100,NaN,0.00191193462363758,NaN,NaN,NaN,4.80116437141967e-05,0.00180106478774874,6.28581921746488e-05,NaN,5.71488913758236,201.568835
3,7,Cycler 21,Resonant 2to1 Stable,19882,100,NaN,0.324654761079452,NaN,NaN,NaN,0.119043176721598,0.00918021976612258,0.196431364591731,NaN,3.4834320842233,171.006982
3,8,Cycler 21,Resonant 2to1 Unstable,235449,100,NaN,0.00937314925645434,NaN,NaN,NaN,7.93490362463383e-06,0.00379256588750389,0.00557264846532581,NaN,4.12062651649859,185.479535
3,9,Cycler 21,Resonant 3to1 Stable,7440,100,NaN,0.173916488593296,NaN,NaN,NaN,0.0135155747848145,0.00985904975602977,0.150541864052452,NaN,6.22294696062348,127.788652
3,10,Cycler 21,Resonant 3to1 Unstable,55834,100,NaN,0.0728856195482319,NaN,NaN,NaN,0.00910655561314183,0.0273533860939005,0.0364256778411895,NaN,4.41563309840485,124.393113
3,11,Cycler 21,Resonant 5to2 Stable,164679,100,NaN,0.0586689192155369,NaN,NaN,NaN,0.0196407950336645,0.00188006059825577,0.0371480635836166,NaN,6.16841363969132,178.099369
3,12,Cycler 21,Resonant 5to2 Unstable,164026,100,NaN,0.0262224343926142,NaN,NaN,NaN,0.0136056995605394,0.0037039299319113,0.00891280490016359,NaN,4.81328855967678,216.260477
3,13,Cycler 21,Distant Prograde Orbit,67049,100,NaN,0.00369951209191162,NaN,NaN,NaN,0.00197361134217548,0.00171308416891593,1.28165808202123e-05,NaN,4.42396869105418,136.249652
4,5,Cycler 11a,Cycler 11b,242157,100,NaN,0.000967191660799006,NaN,NaN,NaN,0.000440275959940866,0.000516826419965836,1.00892808923042e-05,NaN,4.51769135286338,175.268832
4,6,Cycler 11a,Cycler 32,222774,100,NaN,0.00218293368358112,NaN,NaN,NaN,8.74909850913361e-05,0.0020320496210076,6.33930774821819e-05,NaN,5.57583235185477,195.285621
