di,dj,DVcap_nd,Tmax_nd,DVcap_true_mps,Tmax_true_days,edges_kept,direct_pairs,lcc_size,lcc_full,budget_pairs,hc_winner,hc_tie_size,bw_winner,bw_tie_size,str_winner,str_tie_size,n_articulation_points
1,1,0.025,0.785398,51.1579,6.8304,44,22,8,0,28.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
1,2,0.025,0.883573,51.1579,7.6842,48,24,9,0,29.0,Cyc11a,1,Cyc32,1,Cyc11a,1,1
1,3,0.025,0.981748,51.1579,8.5380,58,29,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
1,4,0.025,1.07992,51.1579,9.3918,58,29,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
1,5,0.025,1.1781,51.1579,10.2456,64,32,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
1,6,0.025,1.27627,51.1579,11.0994,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,7,0.025,1.37445,51.1579,11.9532,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,8,0.025,1.47262,51.1579,12.8070,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,9,0.025,1.5708,51.1579,13.6608,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,10,0.025,1.66897,51.1579,14.5146,68,34,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,11,0.025,1.76715,51.1579,15.3684,68,34,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,12,0.025,1.86532,51.1579,16.2222,70,35,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,13,0.025,1.9635,51.1579,17.0760,74,37,10,0,44.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,14,0.025,2.06167,51.1579,17.9298,74,37,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,15,0.025,2.15984,51.1579,18.7836,74,37,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,16,0.025,2.25802,51.1579,19.6374,74,37,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,17,0.025,2.35619,51.1579,20.4912,74,37,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,18,0.025,2.45437,51.1579,21.3450,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,19,0.025,2.55254,51.1579,22.1988,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,20,0.025,2.65072,51.1579,23.0527,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,21,0.025,2.74889,51.1579,23.9065,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,22,0.025,2.84707,51.1579,24.7603,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,23,0.025,2.94524,51.1579,25.6141,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,24,0.025,3.04342,51.1579,26.4679,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
1,25,0.025,3.14159,51.1579,27.3217,76,38,10,0,45.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,1,0.0322917,0.785398,66.0789,6.8304,60,30,9,0,32.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
2,2,0.0322917,0.883573,66.0789,7.6842,62,31,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
2,3,0.0322917,0.981748,66.0789,8.5380,62,31,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
2,4,0.0322917,1.07992,66.0789,9.3918,64,32,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
2,5,0.0322917,1.1781,66.0789,10.2456,66,33,9,0,36.0,Cyc11a,1,Cyc32,1,Cyc11a,1,0
2,6,0.0322917,1.27627,66.0789,11.0994,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,7,0.0322917,1.37445,66.0789,11.9532,66,33,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,8,0.0322917,1.47262,66.0789,12.8070,68,34,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,9,0.0322917,1.5708,66.0789,13.6608,68,34,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,10,0.0322917,1.66897,66.0789,14.5146,68,34,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
2,11,0.0322917,1.76715,66.0789,15.3684,70,35,9,0,36.0,Cyc32,1,Cyc32,1,Cyc32,1,0
