di,dj,DVcap_true_mps,Tmax_true_days,node_idx,node_name,R_budget,harmonic_closeness,betweenness,strength,is_articulation
1,1,51.1579,6.8304,1,"Lyapunov L1",0.583333,0.041051,0,0.0297882,0
1,1,51.1579,6.8304,2,"Lyapunov L2",0,0,0,0,0
1,1,51.1579,6.8304,3,"Cycler 21",0.583333,0.116364,0.0454545,0.0976852,0
1,1,51.1579,6.8304,4,"Cycler 11a",0.583333,0.120851,0.0757576,0.110789,0
1,1,51.1579,6.8304,5,"Cycler 11b",0.583333,0.100878,0.0757576,0.0871894,0
1,1,51.1579,6.8304,6,"Cycler 32",0.583333,0.0843159,0.121212,0.0724998,0
1,1,51.1579,6.8304,7,"Resonant 2to1 Stable",0,0,0,0,0
1,1,51.1579,6.8304,8,"Resonant 2to1 Unstable",0.583333,0.0964036,0,0.0578157,0
1,1,51.1579,6.8304,9,"Resonant 3to1 Stable",0,0,0,0,0
1,1,51.1579,6.8304,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,1,51.1579,6.8304,11,"Resonant 5to2 Stable",0,0,0,0,0
1,1,51.1579,6.8304,12,"Resonant 5to2 Unstable",0.583333,0.0473733,0,0.0146405,0
1,1,51.1579,6.8304,13,"Distant Prograde Orbit",0.583333,0.0598429,0,0.0422414,0
1,2,51.1579,7.6842,1,"Lyapunov L1",0.583333,0.0457353,0,0.0337675,0
1,2,51.1579,7.6842,2,"Lyapunov L2",0.0833333,0.0017596,0,0.0017596,0
1,2,51.1579,7.6842,3,"Cycler 21",0.583333,0.120428,0.0151515,0.101691,0
1,2,51.1579,7.6842,4,"Cycler 11a",0.583333,0.126818,0.0757576,0.117427,0
1,2,51.1579,7.6842,5,"Cycler 11b",0.583333,0.10851,0.0454545,0.0942611,0
1,2,51.1579,7.6842,6,"Cycler 32",0.583333,0.0939709,0.121212,0.0814644,0
1,2,51.1579,7.6842,7,"Resonant 2to1 Stable",0,0,0,0,0
1,2,51.1579,7.6842,8,"Resonant 2to1 Unstable",0.583333,0.099788,0,0.0599085,0
1,2,51.1579,7.6842,9,"Resonant 3to1 Stable",0,0,0,0,0
1,2,51.1579,7.6842,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,2,51.1579,7.6842,11,"Resonant 5to2 Stable",0,0,0,0,0
1,2,51.1579,7.6842,12,"Resonant 5to2 Unstable",0.583333,0.0541992,0,0.0187322,0
1,2,51.1579,7.6842,13,"Distant Prograde Orbit",0.666667,0.069484,0,0.0498052,1
1,3,51.1579,8.5380,1,"Lyapunov L1",0.666667,0.0577286,0,0.0415714,0
1,3,51.1579,8.5380,2,"Lyapunov L2",0.666667,0.0153797,0,0.00999582,0
1,3,51.1579,8.5380,3,"Cycler 21",0.666667,0.127491,0,0.108256,0
1,3,51.1579,8.5380,4,"Cycler 11a",0.666667,0.133832,0.106061,0.123253,0
1,3,51.1579,8.5380,5,"Cycler 11b",0.666667,0.119711,0.106061,0.104626,0
1,3,51.1579,8.5380,6,"Cycler 32",0.666667,0.104807,0.166667,0.0913507,0
1,3,51.1579,8.5380,7,"Resonant 2to1 Stable",0,0,0,0,0
1,3,51.1579,8.5380,8,"Resonant 2to1 Unstable",0.666667,0.104231,0,0.0622626,0
1,3,51.1579,8.5380,9,"Resonant 3to1 Stable",0,0,0,0,0
1,3,51.1579,8.5380,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,3,51.1579,8.5380,11,"Resonant 5to2 Stable",0,0,0,0,0
1,3,51.1579,8.5380,12,"Resonant 5to2 Unstable",0.666667,0.0603531,0,0.0218872,0
1,3,51.1579,8.5380,13,"Distant Prograde Orbit",0.666667,0.0769613,0,0.0550678,0
1,4,51.1579,9.3918,1,"Lyapunov L1",0.666667,0.0608069,0,0.0446986,0
1,4,51.1579,9.3918,2,"Lyapunov L2",0.666667,0.0180324,0,0.0117893,0
1,4,51.1579,9.3918,3,"Cycler 21",0.666667,0.130708,0,0.112142,0
1,4,51.1579,9.3918,4,"Cycler 11a",0.666667,0.138017,0.0909091,0.127464,0
1,4,51.1579,9.3918,5,"Cycler 11b",0.666667,0.125745,0.0909091,0.10974,0
1,4,51.1579,9.3918,6,"Cycler 32",0.666667,0.11231,0.136364,0.0991925,0
1,4,51.1579,9.3918,7,"Resonant 2to1 Stable",0,0,0,0,0
1,4,51.1579,9.3918,8,"Resonant 2to1 Unstable",0.666667,0.106638,0,0.0653065,0
1,4,51.1579,9.3918,9,"Resonant 3to1 Stable",0,0,0,0,0
1,4,51.1579,9.3918,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,4,51.1579,9.3918,11,"Resonant 5to2 Stable",0,0,0,0,0
1,4,51.1579,9.3918,12,"Resonant 5to2 Unstable",0.666667,0.0688342,0,0.0254759,0
1,4,51.1579,9.3918,13,"Distant Prograde Orbit",0.666667,0.0854916,0.030303,0.0627311,0
1,5,51.1579,10.2456,1,"Lyapunov L1",0.666667,0.0623803,0,0.0473985,0
1,5,51.1579,10.2456,2,"Lyapunov L2",0.666667,0.0208842,0,0.0153111,0
1,5,51.1579,10.2456,3,"Cycler 21",0.666667,0.132939,0,0.112841,0
1,5,51.1579,10.2456,4,"Cycler 11a",0.666667,0.141817,0.0909091,0.129237,0
1,5,51.1579,10.2456,5,"Cycler 11b",0.666667,0.129425,0.0909091,0.113246,0
1,5,51.1579,10.2456,6,"Cycler 32",0.666667,0.123974,0.136364,0.111297,0
1,5,51.1579,10.2456,7,"Resonant 2to1 Stable",0,0,0,0,0
1,5,51.1579,10.2456,8,"Resonant 2to1 Unstable",0.666667,0.109277,0,0.0682467,0
1,5,51.1579,10.2456,9,"Resonant 3to1 Stable",0,0,0,0,0
1,5,51.1579,10.2456,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,5,51.1579,10.2456,11,"Resonant 5to2 Stable",0,0,0,0,0
1,5,51.1579,10.2456,12,"Resonant 5to2 Unstable",0.666667,0.0888111,0,0.0369933,0
1,5,51.1579,10.2456,13,"Distant Prograde Orbit",0.666667,0.0908805,0,0.0669386,0
1,6,51.1579,11.0994,1,"Lyapunov L1",0.666667,0.0633645,0,0.0495952,0
1,6,51.1579,11.0994,2,"Lyapunov L2",0.666667,0.0214898,0,0.0156747,0
1,6,51.1579,11.0994,3,"Cycler 21",0.666667,0.135956,0,0.114837,0
1,6,51.1579,11.0994,4,"Cycler 11a",0.666667,0.145475,0.0909091,0.130251,0
1,6,51.1579,11.0994,5,"Cycler 11b",0.666667,0.132385,0.0909091,0.113792,0
1,6,51.1579,11.0994,6,"Cycler 32",0.666667,0.179129,0.136364,0.166827,0
1,6,51.1579,11.0994,7,"Resonant 2to1 Stable",0,0,0,0,0
1,6,51.1579,11.0994,8,"Resonant 2to1 Unstable",0.666667,0.111405,0,0.0693672,0
1,6,51.1579,11.0994,9,"Resonant 3to1 Stable",0,0,0,0,0
1,6,51.1579,11.0994,10,"Resonant 3to1 Unstable",0,0,0,0,0
1,6,51.1579,11.0994,11,"Resonant 5to2 Stable",0,0,0,0,0
