FamilyA,FamilyB,minDVproxy_mps,DVlb_mps,DVpatch_ub_mps,EstimatedTOF_days,VoxelId,DV_cap_nd,Tmax
Lyapunov L1,Lyapunov L2,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Cycler 21,12.343182404534,9.8300247901597,2.51315761437431,5.19693252905426,638593302,0.025,0.785398163397448
Lyapunov L1,Cycler 11a,20.1003048331771,16.634634779601,3.46567005357616,5.18709791230561,563722883,0.025,0.785398163397448
Lyapunov L1,Cycler 11b,9.05553567591601,7.3114021316365,1.74413354427951,5.10091336134117,120145084,0.025,0.785398163397448
Lyapunov L1,Cycler 32,38.6248514777006,34.2679691756393,4.35688230206128,6.37186176258261,690524317,0.025,0.785398163397448
Lyapunov L1,Resonant 2to1 Stable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Resonant 2to1 Unstable,15.1751331376704,12.0951416855915,3.07999145207898,4.52137615810637,546430890,0.025,0.785398163397448
Lyapunov L1,Resonant 3to1 Stable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Resonant 3to1 Unstable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Resonant 5to2 Stable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Resonant 5to2 Unstable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L1,Distant Prograde Orbit,40.8598179145961,36.4602165914173,4.39960132317877,6.55150964118358,713581114,0.025,0.785398163397448
Lyapunov L2,Cycler 21,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L2,Cycler 11a,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L2,Cycler 11b,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L2,Cycler 32,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
Lyapunov L2,Resonant 2to1 Stable,NaN,NaN,NaN,NaN,NaN,0.025,0.785398163397448
